Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
WRG0018,A5029 Crow Orchard Rd to Woodhouse Dr/Scot Ln,Link,MAC1019WG,MAC1024WG,5019 m,354356410522,356284406977,SE
WGR0091,A577 Darlington St/Warrington Ln to A577 Manchester Rd/Ince Green Ln,Link,MAC1113WG,MAC1111WG,1412 m,358718405318,359995405382,E
WGR0090,A577 Manchester Rd/Ince Green Ln to A577 Darlington Rd/Warrington Ln,Link,MAC1111WG,MAC1113WG,1398 m,359995405382,358718405318,W
WGR0089,A49 Central Park Way/ River Way to A577 Darlington St E/Birkett Bank,Normal,MAC1023WG,MAC1112WG,1472 m,358546405971,359385405593,E
WGR0088,A577 Darlington St E/Birkett Bank to A49 Central Park Way/River Way,Normal,MAC1112WG,MAC1023WG,1514 m,359385405593,358546405971,W
WGR0087,A49 Chapel Ln/Queen St to A577 Darlington St/Warrington Ln,Normal,MAC1018WG,MAC1113WG,825 m,358297405137,358718405318,E
WGR0086,A577 Darlington St/Warrington Ln to A49 Chapel Ln/Queen St,Normal,MAC1113WG,MAC1018WG,530 m,358718405318,358297405137,W
WGR0085,A49 Central Park Way/River Way to A577 Darlington St/Warrington Ln,Normal,MAC1023WG,MAC1113WG,721 m,358546405971,358718405318,S
WGR0084,A577 Darlington St/Warrington Ln to A49 Central Park Way/River Way,Normal,MAC1113WG,MAC1023WG,773 m,358718405318,358546405971,N
WGR0083,A578 Wigan Rd/Twist Ln to A578 Atherleigh Way/Twist Ln,Normal,MAC1115WG,MAC1114WG,261 m,364794400258,365043400179,E
WGR0082,A578 Wigan Rd north of Eva St to A578 Wigan Rd/Twist Ln,Link,MAC1116WG,MAC1115WG,1075 m,364498401260,364794400258,S
WGR0081,A578 Wigan Rd/Nel Pan Ln to A578 Wigan Rd north of Eva St,Link,MAC1117WG,MAC1116WG,695 m,364144401844,364498401260,SE
WGR0080,A578 Leigh Rd/Smith's Rd to A578 Wigan Rd/Nel Pan Ln,Link,MAC1118WG,MAC1117WG,361 m,363873402051,364144401844,SE
WGR0079,A578 Leigh Rd/Atherton Rd to A578 Leigh Rd/Smith's Ln,Link,MAC1109WG,MAC1118WG,1080 m,364075403056,363873402051,S
WGR0078,A578 Leigh Rd/Smith's Ln to A578 Leigh Rd/Atherton Rd,Link,MAC1118WG,MAC1109WG,1079 m,363873402051,364075403056,N
WGR0077,A578 Wigan Rd/Nell Pan Ln to A578 Leigh Rd/Smith's Ln,Link,MAC1117WG,MAC1118WG,351 m,364144401844,363873402051,NW
WGR0076,A578 Wigan Rd north of Eva St to A578 Wigan Rd/Nell Pan Ln,Link,MAC1116WG,MAC1117WG,695 m,364498401260,364144401844,NW
WGR0075,A578 Wigan Rd/Twist Ln to A578 Wigan Rd north of Eva St,Link,MAC1115WG,MAC1116WG,1075 m,364794400258,364498401260,N
WGR0074,A578 Atherleigh Way/Twist Ln to A578 Wigan Rd/Twist Ln,Normal,MAC1114WG,MAC1115WG,261 m,365043400179,364794400258,W
WGR0073,A577 Mosley Common Rd/Bridgewater Rd to A580 East Lancs Rd,Link,MAC1102WG,MAC1101WG,238 m,371851401309,371987401139,SE
WGR0072,A577 Sale Ln/Mort Ln to A577 Mosley Common Rd/Bridgewater Rd,Link,MAC1103WG,MAC1102WG,1236 m,371040402027,371851401309,SE
WGR0071,A577 Manchester Rd/Hough Ln to A577 Sale Ln/Mort Ln,Link,MAC1104WG,MAC1103WG,580 m,370465401952,371040402027,E
WGR0070,A577 Tyldesley Rd Sharkerley rd to A577 Manchester Rd/Hough Ln,Link,MAC1105WG,MAC1104WG,1915 m,368668402235,370465401952,E
WGR0069,A577 Tyldesley Rd/Kay St to A577 Tyldesley Rd/Sharkerley Rd,Link,MAC1106WG,MAC1105WG,1138 m,367829402916,368668402235,SE
WGR0068,A577 Wigan Rd to Atherleigh Way to A577 Tyldesley Rd/Kay St,Link,MAC1107WG,MAC1106WG,1792 m,366382403109,367829402916,E
WGR0067,A577 Wigan Rd/Lovers Ln to A577 Wigan Rd/Atherleigh Way,Link,MAC1108WG,MAC1107WG,481 m,365933402984,366382403109,E
WGR0066,A578 Leigh Rd/Atherton Rd to A577 Wigan Rd/Lovers Ln,Link,MAC1109WG,MAC1108WG,1864 m,364075403056,365933402984,E
WGR0065,A577 Wigan Rd/Liverpool Rd to A578 Leigh Rd/Atherton Rd,Link,MAC1110WG,MAC1109WG,2824 m,361583404290,364075403056,E
WGR0064,A577 Manchester Rd/Ince Green Ln to A577 Wigan Rd/Liverpool Rd,Link,MAC1111WG,MAC1110WG,1946 m,359995405382,361583404290,SE
WGR0063,A577 Darlington St E/Birkett Bank to A577 Manchester Rd/Ince Green Ln,Link,MAC1112WG,MAC1111WG,662 m,359385405593,359995405382,E
WGR0062,A577 Darlington St/Warrington Ln to A577 Darlington St E/Birkett Bank,Link,MAC1113WG,MAC1112WG,749 m,358718405318,359385405593,E
WGR0061,A577 Darlington St E/Birkett Bank to A577 Darlington St/Warrington Ln,Link,MAC1112WG,MAC1113WG,739 m,359385405593,358718405318,W
WGR0060,A577 Manchester Rd/Ince Green Ln to A577 Darlington St E/Birkett Bank,Normal,MAC1111WG,MAC1112WG,658 m,359995405382,359385405593,W
WGR0059,A577 Wigan Rd/Liverpool Rd to A577 Manchester Rd/Ince Green Ln,Link,MAC1110WG,MAC1111WG,1947 m,361583404290,359995405382,NW
WGR0058,A578 Leigh Rd/Atherton Rd to A577 Wigan Rd/Liverpool Rd,Link,MAC1109WG,MAC1110WG,2823 m,364075403056,361583404290,W
WGR0057,A577 Wigan Rd/Lovers Ln to A578 Leigh Rd/Atherton Rd,Link,MAC1108WG,MAC1109WG,1864 m,365933402984,364075403056,W
WGR0056,A577 Wigan rd/Atherleigh Way to A577 Wigan rd/Lovers Ln,Link,MAC1107WG,MAC1108WG,512 m,366382403109,365933402984,W
WGR0055,A577 Tyldesley Rd/Kay St A577 Wigan Rd/Atherleigh Way,Link,MAC1106WG,MAC1107WG,1837 m,367829402916,366382403109,W
WGR0054,A577 Tyldesley Rd/Sharkerley Rd to A577 Tyldesley Rd/Kay St,Link,MAC1105WG,MAC1106WG,1138 m,368668402235,367829402916,NW
WGR0053,A577 Manchester Rd/Hough Ln to A577 Tyldesley Rd/Sharkerley Rd,Link,MAC1104WG,MAC1105WG,1910 m,370465401952,368668402235,W
WGR0052,A577 Sale Ln/Mort Ln to A577 Manchester Rd/Hough Ln,Link,MAC1103WG,MAC1104WG,580 m,371040402027,370465401952,W
WGR0051,A577 Mosley Common Rd/Bridgewater Rd to A577 Sale Ln/Mort Ln,Link,MAC1102WG,MAC1103WG,1236 m,371851401309,371040402027,NW
WGR0050,A580 East Lancs Rd to A577 Mosley Common Rd/Bridgewater Rd,Link,MAC1101WG,MAC1102WG,234 m,371987401139,371851401309,NW
WGR0049,A577 Orrell Rd/Fleet St to A59 Dunnings Bridge Rd/M57/M58,Normal,MAC1026WG,MAC1058LP,20587 m,354698404645,336877400101,W
WGR0048,A49 Warrington Rd to A580 East Lancs Rd/Walkden Rd,Normal,MAC1012WG,MAC1053SD,23476 m,356841402681,374101401764,E
WGR0047,Woodhouse Dr/Scot Ln to A49 Wigan Ln/Brock Mill Ln,Normal,MAC1024WG,MAC1021WG,2363 m,356284406977,358258407641,E
WGR0046,A49 Wigan Ln/Brock Mill Ln to Woodhouse Dr/Scot Ln,Normal,MAC1021WG,MAC1024WG,2427 m,358258407641,356284406977,W
WGR0045,A49 Wigan Ln/Royal Albert Edward Hospital to Woodhouse Rd/Scot Drive,Link,MAC1022WG,MAC1024WG,2550 m,358477407143,356284406977,W
WGR0044,Woodhouse Dr/Scot Ln to A49 Wigan Ln/Royal Albert Edward Hospital,Link,MAC1024WG,MAC1022WG,2554 m,356284406977,358477407143,E
WGR0043,Poolstock Ln/St Pauls to Holmes House Av,Normal,MAC1016WG,MAC1031WG,1765 m,357168403415,355749402987,W
WGR0042,Holmes House Ave to Poolstock Ln/St Pauls,Link,MAC1031WG,MAC1016WG,1713 m,355749402987,357168403415,E
WGR0041,Holmes House Av to A571 Pemberton Rd VMS,Normal,MAC1031WG,MAC1029WG,1421 m,355749402987,354756402465,SW
WGR0040,A571 Pemberton Rd VMS to Holmes House Avenue,Link,MAC1029WG,MAC1031WG,1430 m,354756402465,355749402987,NE
WGR0039,A577 Ormskirk Rd/Sherwood Dr to A577 Orrell Rd/Fleet St,Link,MAC1027WG,MAC1026WG,945 m,355627404548,354698404645,W
WGR0038,A577 Ormskirk Rd/Alker St to A577 Ormskirk Rd/Sherwood Dr,Link,MAC1028WG,MAC1027WG,979 m,356541404760,355627404548,W
